Name,Publishers,Developers,Description,Price,Release Date,Tags
Schedule I,TVGS,TVGS,"From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more.",$19.99,"Mar 24, 2025","Co-op,Simulation,Crime,Multiplayer,Open World,Management,First-Person,Action,Building,Stealth,Base Building,Automation,Crafting,FPS,Strategy,Driving,Shooter,Character Customization,Action-Adventure,Early Access"
Counter-Strike 2,Valve,Valve,"For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",$0.00,"Aug 21, 2012","FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
R.E.P.O.,semiwork,semiwork,"An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires.",$9.99,"Feb 26, 2025","Horror,Online Co-Op,Comedy,Multiplayer,Co-op,Physics,3D,Stealth,First-Person,Action,Action Roguelike,Procedural Generation,Robots,Exploration,Survival,Post-apocalyptic,Perma Death,Sci-fi,Dystopian,Early Access"
Marvel Rivals,NetEase Games,NetEase Games,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!",$0.00,"Dec 5, 2024","$0.00,Multiplayer,Hero Shooter,Third-Person Shooter,Superhero,PvP,Action,Team-Based,Competitive,Shooter,3D,Strategy,Co-op,Online Co-Op,Sci-fi,Third Person,Sexual Content,MOBA,FPS,Hentai"
inZOI,"KRAFTON, Inc.",inZOI Studio,"""Every life becomes a story"" Create your unique story by controlling and observing the lives of 'Zois'. Customize characters and build houses using inZOI's easy-to-use tools to live the life of your dreams and experience the different emotions of life created by its deep and detailed simulation.",$39.99,"Mar 27, 2025","Early Access,Life Sim,Character Customization,Simulation,Realistic,Singleplayer,Building,Sexual Content,Romance,Sandbox,Immersive Sim,Dating Sim,City Builder,Cats,Modern,Moddable,Relaxing,Casual,Family Friendly,Cute"
Split Fiction,Electronic Arts,Hazelight Studios,"Embrace mind-blowing moments as you’re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op adventure.",$49.99,"Mar 6, 2025","Co-op,Split Screen,Female Protagonist,Action-Adventure,3D Platformer,Sci-fi,Fantasy,Third Person,Local Co-Op,Story Rich,Online Co-Op,Adventure,Action,Co-op Campaign,Local Multiplayer,Multiplayer,Puzzle Platformer,Platformer,Funny,Mature"
Yu-Gi-Oh! Master Duel,KONAMI,KONAMI,"Yu-Gi-Oh! MASTER DUEL is the ultimate free-to-play cross-platform strategy card game with fast-paced Duels, stunning HD graphics and a new, dynamic soundtrack! Get ready to challenge Duelists around the world!",$0.00,"Jan 18, 2022","Card Game,$0.00,Strategy,Trading Card Game,Multiplayer,PvP,Card Battler,Anime,Turn-Based Tactics,Simulation,Tactical,Singleplayer,eSports,Dragons,Fantasy,3D,PvE,Great Soundtrack,2D,Deckbuilding"
Stellaris,Paradox Interactive,Paradox Development Studio,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",$39.99,"May 9, 2016","Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Singleplayer,Real-Time with Pause,Moddable,Management,Diplomacy,Futuristic,Military,Replay Value,Great Soundtrack,Procedural Generation,Atmospheric"
Enshrouded,Keen Games GmbH,Keen Games GmbH,"You are Flameborn, last ember of hope of a dying race. Awaken, survive the terror of a corrupting fog, and reclaim the lost beauty of your kingdom. Venture into a vast world, vanquish punishing bosses, build grand halls and forge your path in this co-op survival action RPG for up to 16 players.",$29.99,"Jan 24, 2024","Open World,Survival,Base Building,Multiplayer,Online Co-Op,Crafting,RPG,Adventure,Action RPG,Building,Exploration,Singleplayer,Fantasy,Sandbox,Character Customization,Early Access,PvE,Action,3D,Indie"
EA SPORTS FC™ 25,Electronic Arts,EA Canada;EA Romania,"EA SPORTS FC™ 25 gives you more ways to win for the club. Team up with friends in your favourite modes with the new 5v5 Rush, and manage your club to victory as FC IQ delivers more tactical control than ever before.",$69.99,"Sep 26, 2024","Sports,Simulation,Football (Soccer),Controller,Multiplayer,eSports,Competitive,Local Co-Op,Family Friendly,Online Co-Op,Singleplayer,Local Multiplayer,PvP,Modern,Realistic,Co-op,Soundtrack,Split Screen,$0.00,LGBTQ+"
